year,abortion,criminal,police,incarceration
1981,33.01,,,
1981,32.56,,,
1981,32.37,,,
1981,32.13,,,
1981,32.06,,,
1981,31.41,,,
1981,31.2,,,
1981,31.88,,,
1981,31.49,,,
1981,32.34,,,
1981,31.25,,,
1981,30.64,,,
1981,29.9,,,
1981,28.43,,,
1981,27.11,,,
1981,27.09,,,
1981,26.56,,,
1981,26.22,,,
1981,26.15,,,
1981,26.11,,,
1981,25.67,,,
1981,25.22,,,
1981,24.83,,,
1981,24.24,,,
1981,23.83,,,
1981,24.38,,,
1981,23.58,,,
1981,23.49,,,
1981,22.22,,,
1981,21.24,,,
1981,20.34,,,
1981,19.34,,,
1981,18.23,,,
1981,17.47,,,
1981,16.77,,,
1982,33.01,,,
1982,32.56,,,
1982,32.37,,,
1982,32.13,,,
1982,32.06,,,
1982,31.41,,,
1982,31.2,,,
1982,31.88,,,
1982,31.49,,,
1982,32.34,,,
1982,31.25,,,
1982,30.64,,,
1982,29.9,,,
1982,28.43,,,
1982,27.11,,,
1982,27.09,,,
1982,26.56,,,
1982,26.22,,,
1982,26.15,,,
1982,26.11,,,
1982,25.67,,,
1982,25.22,,,
1982,24.83,,,
1982,24.24,,,
1982,23.83,,,
1982,24.38,,,
1982,23.58,,,
1982,23.49,,,
1982,22.22,,,
1982,21.24,,,
1982,20.34,,,
1982,19.34,,,
1982,18.23,,,
1982,17.47,,,
1982,16.77,,,
1983,33.01,,,
1983,32.56,,,
1983,32.37,,,
1983,32.13,,,
1983,32.06,,,
1983,31.41,,,
1983,31.2,,,
1983,31.88,,,
1983,31.49,,,
1983,32.34,,,
1983,31.25,,,
1983,30.64,,,
1983,29.9,,,
1983,28.43,,,
1983,27.11,,,
1983,27.09,,,
1983,26.56,,,
1983,26.22,,,
1983,26.15,,,
1983,26.11,,,
1983,25.67,,,
1983,25.22,,,
1983,24.83,,,
1983,24.24,,,
1983,23.83,,,
1983,24.38,,,
1983,23.58,,,
1983,23.49,,,
1983,22.22,,,
1983,21.24,,,
1983,20.34,,,
1983,19.34,,,
1983,18.23,,,
1983,17.47,,,
1983,16.77,,,
1984,33.01,,,
1984,32.56,,,
1984,32.37,,,
1984,32.13,,,
1984,32.06,,,
1984,31.41,,,
1984,31.2,,,
1984,31.88,,,
1984,31.49,,,
1984,32.34,,,
1984,31.25,,,
1984,30.64,,,
1984,29.9,,,
1984,28.43,,,
1984,27.11,,,
1984,27.09,,,
1984,26.56,,,
1984,26.22,,,
1984,26.15,,,
1984,26.11,,,
1984,25.67,,,
1984,25.22,,,
1984,24.83,,,
1984,24.24,,,
1984,23.83,,,
1984,24.38,,,
1984,23.58,,,
1984,23.49,,,
1984,22.22,,,
1984,21.24,,,
1984,20.34,,,
1984,19.34,,,
1984,18.23,,,
1984,17.47,,,
1984,16.77,,,
1985,33.01,,,
1985,32.56,,,
1985,32.37,,,
1985,32.13,,,
1985,32.06,,,
1985,31.41,,,
1985,31.2,,,
1985,31.88,,,
1985,31.49,,,
1985,32.34,,,
1985,31.25,,,
1985,30.64,,,
1985,29.9,,,
1985,28.43,,,
1985,27.11,,,
1985,27.09,,,
1985,26.56,,,
1985,26.22,,,
1985,26.15,,,
1985,26.11,,,
1985,25.67,,,
1985,25.22,,,
1985,24.83,,,
1985,24.24,,,
1985,23.83,,,
1985,24.38,,,
1985,23.58,,,
1985,23.49,,,
1985,22.22,,,
1985,21.24,,,
1985,20.34,,,
1985,19.34,,,
1985,18.23,,,
1985,17.47,,,
1985,16.77,,,
1986,33.01,,,
1986,32.56,,,
1986,32.37,,,
1986,32.13,,,
1986,32.06,,,
1986,31.41,,,
1986,31.2,,,
1986,31.88,,,
1986,31.49,,,
1986,32.34,,,
1986,31.25,,,
1986,30.64,,,
1986,29.9,,,
1986,28.43,,,
1986,27.11,,,
1986,27.09,,,
1986,26.56,,,
1986,26.22,,,
1986,26.15,,,
1986,26.11,,,
1986,25.67,,,
1986,25.22,,,
1986,24.83,,,
1986,24.24,,,
1986,23.83,,,
1986,24.38,,,
1986,23.58,,,
1986,23.49,,,
1986,22.22,,,
1986,21.24,,,
1986,20.34,,,
1986,19.34,,,
1986,18.23,,,
1986,17.47,,,
1986,16.77,,,
1987,33.01,,,
1987,32.56,,,
1987,32.37,,,
1987,32.13,,,
1987,32.06,,,
1987,31.41,,,
1987,31.2,,,
1987,31.88,,,
1987,31.49,,,
1987,32.34,,,
1987,31.25,,,
1987,30.64,,,
1987,29.9,,,
1987,28.43,,,
1987,27.11,,,
1987,27.09,,,
1987,26.56,,,
1987,26.22,,,
1987,26.15,,,
1987,26.11,,,
1987,25.67,,,
1987,25.22,,,
1987,24.83,,,
1987,24.24,,,
1987,23.83,,,
1987,24.38,,,
1987,23.58,,,
1987,23.49,,,
1987,22.22,,,
1987,21.24,,,
1987,20.34,,,
1987,19.34,,,
1987,18.23,,,
1987,17.47,,,
1987,16.77,,,
1988,33.01,,,
1988,32.56,,,
1988,32.37,,,
1988,32.13,,,
1988,32.06,,,
1988,31.41,,,
1988,31.2,,,
1988,31.88,,,
1988,31.49,,,
1988,32.34,,,
1988,31.25,,,
1988,30.64,,,
1988,29.9,,,
1988,28.43,,,
1988,27.11,,,
1988,27.09,,,
1988,26.56,,,
1988,26.22,,,
1988,26.15,,,
1988,26.11,,,
1988,25.67,,,
1988,25.22,,,
1988,24.83,,,
1988,24.24,,,
1988,23.83,,,
1988,24.38,,,
1988,23.58,,,
1988,23.49,,,
1988,22.22,,,
1988,21.24,,,
1988,20.34,,,
1988,19.34,,,
1988,18.23,,,
1988,17.47,,,
1988,16.77,,,
1989,33.01,,,
1989,32.56,,,
1989,32.37,,,
1989,32.13,,,
1989,32.06,,,
1989,31.41,,,
1989,31.2,,,
1989,31.88,,,
1989,31.49,,,
1989,32.34,,,
1989,31.25,,,
1989,30.64,,,
1989,29.9,,,
1989,28.43,,,
1989,27.11,,,
1989,27.09,,,
1989,26.56,,,
1989,26.22,,,
1989,26.15,,,
1989,26.11,,,
1989,25.67,,,
1989,25.22,,,
1989,24.83,,,
