,year,abortion,crime,Dow_Jones(Lat Px),Incarceration,Police_Employment
,,,,,,
,1980,,,963.9899902,,
,1981,,,875,,
0,1982,32.56,,1046.540039,,
1,1983,32.37,,1258.640015,,
2,1984,32.13,,1211.569946,,
3,1985,32.06,,1546.670044,,
4,1986,31.41,,1895.949951,,
5,1987,31.2,,1938.829956,,
6,1988,31.88,,2168.570068,,
7,1989,31.49,,2753.199951,,
8,1990,32.34,,2633.659912,,
9,1991,31.25,,3168.830078,,
10,1992,30.64,,3301.110107,,
11,1993,29.9,,3754.090088,,
12,1994,28.43,,3834.439941,,
13,1995,27.11,,5117.120117,,
14,1996,27.09,,6448.259766,,
15,1997,26.56,,7908.240234,,
16,1998,26.22,,9181.429688,,
17,1999,26.15,,11497.12012,,
18,2000,26.11,,10786.84961,,
19,2001,25.67,,10021.5,,
20,2002,25.22,,8341.629883,,
21,2003,24.83,,10453.91992,,
22,2004,24.24,,10783.00977,,
23,2005,23.83,,10717.5,,
24,2006,24.38,,12463.15039,,
25,2007,23.58,,13264.82031,,
26,2008,23.49,,8776.389648,,
27,2009,22.22,,10428.0498,,
28,2010,21.24,,11577.50977,,
29,2011,20.34,,12217.55957,,
30,2012,19.34,,13104.13965,,
31,2013,18.23,,16576.66016,,
32,2014,17.47,,17823.07031,,
33,2015,16.77,,17425.0293,,
,,,,19762.59961,,
,,,,24719.2207,,
,,,,25413.2207,,
