Year,Abortions,Ratio per 1000 live births
1970,"193,491",52
1971,"485,816",137
1972,"586,760",180
1973,"615,831",196
1974,"763,476",242
1975,"854,853",272
1976,"988,267",312
1977,"950,675",325
1978,"1,157,776",347
1979,"1,251,921",358
1980,"1,297,606",359
1981,"1,300,760",358
1982,"1,303,980",354
1983,"1,268,987",349
1984,"1,333,521",364
1985,"1,328,570",354
1986,"1,328,112",354
1987,"1,353,671",356
1988,"1,371,285",352
1989,"1,396,658",346
1990,"1,429,247",345
1991,"1,388,937",339
1992,"1,359,145",335
1993,"1,330,414",321
1994,"1,267,415",334
1995,"1,210,883",311
1996,"1,221,585",314
1997,"1,186,039",274
1998,"884,273",264
1999,"861,789",256
2000,"857,475",246
2001,"853,485",246
2002,"854,122",246
2003,"848,163",241
2004,"839,226",238
2005,"820,151",233
2006,"852,385",236
2007,"827,609",231
2008,"825,564",234
2009,"789,217",227
2010,"765,651",228
2011,"730,322",219
2012,"699,202",210
2013,"664,435",200
2014,"652,639",186
