,year,stfips,Statename,abrate_res_new
0,1970.0,1.0,Alabama,1.0389575
1,1971.0,1.0,Alabama,2.03
2,1972.0,1.0,Alabama,2.78
3,1973.0,1.0,Alabama,6.3
4,1974.0,1.0,Alabama,7.7
5,1975.0,1.0,Alabama,9.6
6,1970.0,2.0,Alaska,13.193799
7,1971.0,2.0,Alaska,16.79
8,1972.0,2.0,Alaska,15.48
9,1973.0,2.0,Alaska,14.2
10,1974.0,2.0,Alaska,16.4
11,1975.0,2.0,Alaska,21.4
12,1970.0,4.0,Arizona,0.20998241
13,1971.0,4.0,Arizona,1.04
14,1972.0,4.0,Arizona,6.71
15,1973.0,4.0,Arizona,11.8
16,1974.0,4.0,Arizona,14.8
17,1975.0,4.0,Arizona,18.3
18,1970.0,5.0,Arkansas,0.2668027
19,1971.0,5.0,Arkansas,2.7
20,1972.0,5.0,Arkansas,3.82
21,1973.0,5.0,Arkansas,5.5
22,1974.0,5.0,Arkansas,6.2
23,1975.0,5.0,Arkansas,8.5
24,1970.0,6.0,California,13.18449
25,1971.0,6.0,California,23.57
26,1972.0,6.0,California,23.58
27,1973.0,6.0,California,27.9
28,1974.0,6.0,California,32.2
29,1975.0,6.0,California,33.0
30,1970.0,8.0,Colorado,5.914004
31,1971.0,8.0,Colorado,8.92
32,1972.0,8.0,Colorado,9.93
33,1973.0,8.0,Colorado,16.3
34,1974.0,8.0,Colorado,20.3
35,1975.0,8.0,Colorado,22.5
36,1970.0,9.0,Connecticut,5.7288055
37,1971.0,9.0,Connecticut,12.27
38,1972.0,9.0,Connecticut,12.93
39,1973.0,9.0,Connecticut,18.2
40,1974.0,9.0,Connecticut,19.1
41,1975.0,9.0,Connecticut,20.8
42,1970.0,10.0,Delaware,6.8680396
43,1971.0,10.0,Delaware,13.49
44,1972.0,10.0,Delaware,17.25
45,1973.0,10.0,Delaware,17.9
46,1974.0,10.0,Delaware,18.9
47,1975.0,10.0,Delaware,26.6
48,1970.0,11.0,District of Columbia,24.469803
49,1971.0,11.0,District of Columbia,63.94
50,1972.0,11.0,District of Columbia,40.41
51,1973.0,11.0,District of Columbia,83.3
52,1974.0,11.0,District of Columbia,69.4
53,1975.0,11.0,District of Columbia,71.8
54,1970.0,12.0,Florida,2.448513
55,1971.0,12.0,Florida,6.6
56,1972.0,12.0,Florida,7.85
57,1973.0,12.0,Florida,16.7
58,1974.0,12.0,Florida,20.8
59,1975.0,12.0,Florida,30.8
60,1970.0,13.0,Georgia,2.1820357
61,1971.0,13.0,Georgia,4.8
62,1972.0,13.0,Georgia,6.59
63,1973.0,13.0,Georgia,10.3
64,1974.0,13.0,Georgia,16.5
65,1975.0,13.0,Georgia,18.5
66,1970.0,15.0,Hawaii,19.413483
67,1971.0,15.0,Hawaii,23.17
68,1972.0,15.0,Hawaii,24.43
69,1973.0,15.0,Hawaii,26.1
70,1974.0,15.0,Hawaii,28.3
71,1975.0,15.0,Hawaii,29.7
72,1970.0,16.0,Idaho,0.29052475
73,1971.0,16.0,Idaho,0.19
74,1972.0,16.0,Idaho,0.13
75,1973.0,16.0,Idaho,4.6
76,1974.0,16.0,Idaho,6.5
77,1975.0,16.0,Idaho,7.7
78,1970.0,17.0,Illinois,2.7775617
79,1971.0,17.0,Illinois,6.81
80,1972.0,17.0,Illinois,5.91
81,1973.0,17.0,Illinois,15.1
82,1974.0,17.0,Illinois,18.9
83,1975.0,17.0,Illinois,23.9
84,1970.0,18.0,Indiana,1.4206753
85,1971.0,18.0,Indiana,4.5
86,1972.0,18.0,Indiana,4.85
87,1973.0,18.0,Indiana,5.8
88,1974.0,18.0,Indiana,11.6
89,1975.0,18.0,Indiana,14.1
90,1970.0,19.0,Iowa,1.3559444
91,1971.0,19.0,Iowa,5.0
92,1972.0,19.0,Iowa,4.09
93,1973.0,19.0,Iowa,6.4
94,1974.0,19.0,Iowa,11.4
95,1975.0,19.0,Iowa,12.0
96,1970.0,20.0,Kansas,8.909198
97,1971.0,20.0,Kansas,8.83
98,1972.0,20.0,Kansas,10.51
99,1973.0,20.0,Kansas,10.7
100,1974.0,20.0,Kansas,16.0
101,1975.0,20.0,Kansas,18.7
102,1970.0,21.0,Kentucky,1.0249884
103,1971.0,21.0,Kentucky,3.31
104,1972.0,21.0,Kentucky,4.46
105,1973.0,21.0,Kentucky,6.4
106,1974.0,21.0,Kentucky,8.1
107,1975.0,21.0,Kentucky,11.3
108,1970.0,22.0,Louisiana,0.54613125
109,1971.0,22.0,Louisiana,1.44
110,1972.0,22.0,Louisiana,1.5
111,1973.0,22.0,Louisiana,1.6
