Age,Age Midpoint,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,
,,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population,Rates,Counts,Population
10-12,11.5,"1,361.90","147,911","10,860,792","1,450.80","160,996","11,097,016","1,525.90","167,019","10,945,700","1,518.90","159,769","10,519,003","1,565.60","155,699","9,945,029","1,611.90","157,216","9,753,457","1,549.90","150,248","9,694,364","1,614.90","159,322","9,865,585","1,763.60","176,156","9,988,157","1,794.60","184,233","10,265,663","1,751.40","185,111","10,569,141","1,832.80","199,702","10,896,128","1,774.30","198,897","11,210,056","1,708.10","193,901","11,352,149","1,915.50","218,658","11,415,380","1,841.30","211,925","11,509,601","1,780.40","206,866","11,618,774","1,804.80","213,406","11,824,435","1,572.10","188,234","11,973,616","1,445.00","176,214","12,194,745","1,402.70","175,938","12,543,181","1,374.20","175,169","12,747,397","1,315.00","168,464","12,811,367","1,290.60","163,038","12,632,920","1,250.20","155,557","12,442,922","1,137.60","139,791","12,287,988","1,109.20","134,713","12,144,636","1,035.10","124,341","12,012,857",972.4,"115,640","11,892,284",878.5,"103,941","11,832,284",783.5,"97,275","12,415,854",709.7,"88,406","12,459,257",643.4,"79,770","12,399,772",541.3,"66,514","12,288,783",507.3,"62,241","12,269,680"
13-14,14,"5,902.30","435,330","7,375,543","6,035.00","434,722","7,203,391","6,040.60","434,854","7,198,878","5,737.60","421,686","7,349,523","5,954.90","446,930","7,505,246","6,333.90","460,727","7,273,976","6,385.20","432,911","6,779,870","6,718.60","437,468","6,511,261","7,232.70","470,712","6,508,080","7,518.70","491,060","6,531,173","7,593.10","504,464","6,643,746","8,041.50","551,632","6,859,827","8,081.80","568,613","7,035,707","8,131.50","599,228","7,369,254","9,224.30","699,745","7,585,906","8,928.80","687,286","7,697,448","8,629.80","674,537","7,816,335","8,447.30","656,883","7,776,262","7,373.20","578,913","7,851,565","6,762.70","542,272","8,018,619","6,534.90","527,843","8,077,328","6,263.80","510,398","8,148,319","6,210.20","515,198","8,295,951","6,047.40","517,295","8,554,018","6,032.40","522,667","8,664,387","5,818.30","497,049","8,542,920","5,871.40","494,828","8,427,816","5,653.10","469,141","8,298,890","5,408.50","443,612","8,202,123","4,840.40","393,223","8,123,816","4,121.90","340,665","8,265,280","3,705.90","305,889","8,255,731","3,404.20","281,552","8,272,700","2,739.10","229,247","8,369,335","2,579.90","216,762","8,401,826"
15,15.5,"10,103.80","404,032","3,998,828","10,410.80","393,898","3,783,568","10,296.30","379,049","3,681,408","9,537.80","343,768","3,604,276","9,598.40","352,537","3,672,874","10,330.10","388,144","3,757,404","10,438.10","399,905","3,831,207","10,672.60","376,254","3,525,419","11,728.70","391,405","3,337,171","12,106.70","394,502","3,258,534","12,093.00","404,728","3,346,796","12,841.30","425,972","3,317,193","12,613.50","440,365","3,491,225","13,106.80","464,540","3,544,262","14,405.00","528,887","3,671,558","14,459.80","559,992","3,872,736","14,611.00","567,545","3,884,361","13,682.80","545,215","3,984,667","12,238.60","489,853","4,002,537","11,213.20","441,706","3,939,152","10,763.80","437,213","4,061,891","10,480.80","426,647","4,070,731","10,414.70","424,255","4,073,619","10,241.30","423,589","4,136,094","10,086.20","425,130","4,214,965","9,775.60","429,294","4,391,459","10,196.30","441,184","4,326,901","10,041.80","429,037","4,272,532","9,788.80","412,299","4,211,938","8,965.90","370,824","4,135,953","7,356.90","311,242","4,231,003","6,672.70","277,437","4,158,977","5,970.40","247,352","4,144,326","4,918.80","204,119","4,149,781","4,633.80","192,938","4,163,723"
16,16.5,"12,722.90","530,547","4,170,006","12,738.40","509,658","4,000,951","13,410.30","507,853","3,787,043","12,056.00","444,324","3,685,509","12,105.50","437,155","3,611,198","12,592.50","463,691","3,682,274","13,246.40","499,273","3,769,121","12,933.60","497,255","3,844,664","13,935.90","493,776","3,543,198","14,512.40","487,072","3,356,248","14,958.30","491,619","3,286,594","15,274.60","516,435","3,380,995","15,186.30","509,167","3,352,809","15,499.40","546,746","3,527,533","16,897.20","604,120","3,575,264","17,094.50","632,202","3,698,273","17,242.20","672,134","3,898,198","16,908.10","660,758","3,907,945","15,079.80","604,062","4,005,760","13,798.30","554,734","4,020,305","13,242.30","527,097","3,980,402","12,689.80","519,599","4,094,609","12,857.60","527,378","4,101,671","12,398.50","508,552","4,101,708","12,166.10","506,434","4,162,676","11,964.80","507,587","4,242,327","12,165.10","537,659","4,419,690","12,217.60","532,251","4,356,418","12,159.00","522,795","4,299,670","11,249.10","476,566","4,236,476","9,361.10","403,707","4,313,252","8,423.80","357,645","4,247,472","7,626.10","318,205","4,174,855","6,214.60","258,628","4,161,624","5,905.70","246,103","4,167,234"
17,17.5,"14,092.30","595,366","4,224,747","13,949.60","582,233","4,173,839","15,163.20","608,609","4,013,718","13,646.60","519,591","3,807,468","13,294.60","493,948","3,715,408","13,967.60","509,831","3,650,102","14,826.70","553,031","3,729,968","14,835.30","567,715","3,826,777","15,769.70","617,474","3,915,582","16,200.50","586,414","3,619,735","16,465.30","566,248","3,439,042","16,700.20","562,746","3,369,699","15,907.40","550,435","3,460,235","16,648.70","570,470","3,426,509","17,570.00","630,989","3,591,286","18,174.00","659,790","3,630,405","18,651.70","698,888","3,747,042","17,778.20","700,588","3,940,725","16,772.90","661,302","3,942,677","15,115.30","609,331","4,031,224","14,805.10","599,049","4,046,237","13,935.80","560,092","4,019,101","14,198.90","586,554","4,130,978","13,815.30","571,146","4,134,166","13,349.50","551,605","4,132,034","13,260.70","556,122","4,193,752","13,729.00","586,814","4,274,274","13,449.20","598,849","4,452,665","13,498.50","592,154","4,386,815","12,703.70","549,709","4,327,148","10,952.10","479,184","4,376,368","9,960.50","431,414","4,334,957","9,000.40","383,764","4,268,503","7,503.00","314,957","4,197,758","7,116.40","297,801","4,184,706"
18,18.5,"15,031.40","635,804","4,229,835","15,072.40","628,670","4,171,004","16,425.60","677,481","4,124,549","14,979.60","594,740","3,970,322","14,690.20","553,174","3,765,596","15,238.90","560,713","3,679,484","16,539.00","597,498","3,612,654","16,311.50","602,505","3,693,745","18,090.70","686,469","3,794,606","18,537.10","719,331","3,880,497","18,896.50","680,199","3,599,611","19,311.60","656,670","3,400,389","18,240.80","610,605","3,347,464","18,085.10","623,475","3,447,455","19,009.10","650,202","3,420,476","19,393.70","696,737","3,592,599","20,068.00","731,170","3,643,452","19,506.70","736,030","3,773,223","18,029.70","717,017","3,976,876","17,311.30","690,693","3,989,843","16,792.90","684,649","4,077,025","15,984.20","653,767","4,090,088","16,410.20","666,411","4,060,953","15,888.30","662,076","4,167,060","15,701.50","654,386","4,167,663","15,484.00","645,125","4,166,397","15,912.00","672,874","4,228,717","15,730.10","677,866","4,309,346","15,264.50","684,600","4,484,927","14,943.20","659,865","4,415,829","13,404.30","601,871","4,491,005","12,494.00","549,381","4,402,634","11,474.30","499,437","4,360,345","9,831.70","422,384","4,296,134","9,297.20","392,863","4,225,590"
19,19.5,"13,854.80","621,738","4,487,524","13,911.50","613,664","4,411,195","15,647.40","681,441","4,354,966","14,487.10","625,899","4,320,386","14,028.80","584,379","4,165,555","14,537.10","575,375","3,957,974","15,382.00","595,224","3,869,625","15,655.60","596,119","3,807,701","16,892.50","659,786","3,905,784","17,719.70","711,993","4,018,089","17,584.30","720,875","4,099,550","17,739.60","674,461","3,802,004","17,071.00","613,617","3,594,507","17,046.10","601,403","3,528,094","17,455.00","631,387","3,617,225","18,041.20","645,874","3,579,985","18,500.70","693,242","3,747,107","18,415.60","698,158","3,791,131","17,594.10","688,262","3,911,882","16,844.80","691,324","4,104,078","17,082.70","703,233","4,116,634","16,314.80","672,453","4,121,729","17,013.80","703,192","4,133,066","16,469.70","674,340","4,094,434","16,181.90","680,391","4,204,646","16,199.90","681,811","4,208,730","16,451.30","692,184","4,207,470","16,173.30","690,156","4,267,262","15,930.50","692,319","4,345,861","15,202.50","686,789","4,517,588","14,032.40","641,342","4,571,385","13,152.60","593,908","4,520,683","12,325.60","544,994","4,430,960","10,661.80","468,061","4,390,087","9,975.70","431,588","4,326,394"
20,20.5,"13,084.70","572,076","4,372,101","13,199.00","588,686","4,460,084","14,874.50","651,998","4,383,331","14,083.60","610,649","4,335,872","13,578.20","583,684","4,298,672","13,906.00","575,965","4,141,855","14,759.80","581,607","3,940,479","14,693.20","566,411","3,854,933","16,198.40","615,288","3,798,452","16,649.80","648,820","3,896,856","16,481.40","668,175","4,054,116","16,521.60","672,768","4,072,063","15,810.80","601,321","3,803,224","15,779.00","568,671","3,603,965","16,212.10","573,667","3,538,504","16,340.90","593,248","3,630,445","16,859.90","606,467","3,597,090","16,672.20","627,754","3,765,281","16,244.50","618,508","3,807,500","15,727.10","617,367","3,925,495","15,935.90","653,623","4,101,588","15,327.30","637,287","4,157,853","15,854.40","659,604","4,160,386","15,464.90","643,109","4,158,512","15,278.00","631,406","4,132,782","15,081.50","639,809","4,242,356","15,430.70","655,479","4,247,897","15,076.40","639,506","4,241,758","14,790.90","635,958","4,299,669","14,524.10","635,599","4,376,156","13,424.60","613,189","4,568,470","12,594.50","578,812","4,600,421","11,942.70","542,504","4,550,552","10,576.30","471,700","4,459,958","9,902.20","437,569","4,418,887"
21,21.5,"12,284.80","527,886","4,297,074","12,854.60","552,681","4,299,497","14,409.40","631,804","4,384,664","13,563.70","585,378","4,315,773","13,345.20","569,636","4,268,470","13,547.10","572,710","4,227,560","14,200.90","579,969","4,084,031","14,478.40","562,780","3,887,035","15,480.00","589,416","3,807,606","16,130.10","605,504","3,753,876","15,662.80","600,955","3,836,827","15,599.90","618,532","3,964,964","14,927.60","597,701","4,003,995","14,632.50","547,496","3,741,649","15,154.10","537,526","3,547,069","15,401.40","536,950","3,486,375","15,306.90","547,526","3,576,997","15,438.80","548,778","3,554,549","14,737.80","548,243","3,719,968","14,569.20","548,299","3,763,401","14,701.00","572,527","3,894,478","14,328.20","592,879","4,137,841","14,188.90","594,487","4,189,800","13,955.80","583,013","4,177,575","13,971.90","585,845","4,193,021","13,875.60","577,874","4,164,682","13,929.80","595,600","4,275,736","13,733.70","587,391","4,276,999","13,421.00","573,204","4,270,962","13,190.90","570,422","4,324,344","12,777.50","560,580","4,387,914","11,659.20","535,409","4,596,145","11,323.00","523,834","4,633,178","10,274.70","470,680","4,580,949","9,830.50","441,366","4,489,746"
